"filename", "language", "Python", "Excel", "CSV", "comment", "blank", "total"
"/Users/zhangyiyao/Desktop/pythonhandler/handler/base.py", "Python", 20, 0, 0, 7, 6, 33
"/Users/zhangyiyao/Desktop/pythonhandler/handler/conn.py", "Python", 9, 0, 0, 0, 2, 11
"/Users/zhangyiyao/Desktop/pythonhandler/handler/dashboard.py", "Python", 25, 0, 0, 0, 2, 27
"/Users/zhangyiyao/Desktop/pythonhandler/handler/getstock.py", "Python", 18, 0, 0, 2, 3, 23
"/Users/zhangyiyao/Desktop/pythonhandler/handler/login.py", "Python", 29, 0, 0, 10, 8, 47
"/Users/zhangyiyao/Desktop/pythonhandler/handler/predict/data/000001.csv", "CSV", 0, 0, 7642, 0, 1, 7643
"/Users/zhangyiyao/Desktop/pythonhandler/handler/predict/gru_predict.py", "Python", 12, 0, 0, 3, 4, 19
"/Users/zhangyiyao/Desktop/pythonhandler/handler/predict/lstm_predict.py", "Python", 12, 0, 0, 3, 5, 20
"/Users/zhangyiyao/Desktop/pythonhandler/handler/predict/predict.py", "Python", 94, 0, 0, 6, 16, 116
"/Users/zhangyiyao/Desktop/pythonhandler/handler/register.py", "Python", 39, 0, 0, 11, 8, 58
"/Users/zhangyiyao/Desktop/pythonhandler/handler/research.py", "Python", 16, 0, 0, 0, 3, 19
"/Users/zhangyiyao/Desktop/pythonhandler/handler/simulation.py", "Python", 39, 0, 0, 0, 3, 42
"/Users/zhangyiyao/Desktop/pythonhandler/handler/stocknews.py", "Python", 152, 0, 0, 6, 6, 164
"/Users/zhangyiyao/Desktop/pythonhandler/handler/tempCodeRunnerFile.py", "Python", 1, 0, 0, 0, 0, 1
"/Users/zhangyiyao/Desktop/pythonhandler/handler/test.py", "Python", 0, 0, 0, 0, 1, 1
"/Users/zhangyiyao/Desktop/pythonhandler/handler/transaction.py", "Python", 153, 0, 0, 0, 4, 157
"/Users/zhangyiyao/Desktop/pythonhandler/handler/userinfo.py", "Python", 120, 0, 0, 0, 4, 124
"/Users/zhangyiyao/Desktop/pythonhandler/main.py", "Python", 44, 0, 0, 0, 6, 50
"/Users/zhangyiyao/Desktop/pythonhandler/model/GATs/LS_LA.xlsx", "Excel", 0, 272, 0, 0, 1, 273
"/Users/zhangyiyao/Desktop/pythonhandler/model/GATs/all_risk_analysis.xlsx", "Excel", 0, 49, 0, 0, 0, 49
"/Users/zhangyiyao/Desktop/pythonhandler/model/GATs/group_return.xlsx", "Excel", 0, 747, 0, 0, 8, 755
"/Users/zhangyiyao/Desktop/pythonhandler/model/GATs/ic_df.xlsx", "Excel", 0, 150, 0, 0, 0, 150
"/Users/zhangyiyao/Desktop/pythonhandler/model/GATs/monthly_ic.xlsx", "Excel", 0, 59, 0, 0, 1, 60
"/Users/zhangyiyao/Desktop/pythonhandler/model/GATs/monthly_risk_analysis.xlsx", "Excel", 0, 160, 0, 0, 0, 160
"/Users/zhangyiyao/Desktop/pythonhandler/model/GATs/port_info.xlsx", "Excel", 0, 6335, 0, 0, 34, 6369
"/Users/zhangyiyao/Desktop/pythonhandler/model/GATs/pred_autocorr.xlsx", "Excel", 0, 159, 0, 0, 1, 160
"/Users/zhangyiyao/Desktop/pythonhandler/model/GATs/report_info.xlsx", "Excel", 0, 862, 0, 0, 9, 871
"/Users/zhangyiyao/Desktop/pythonhandler/model/GATs/scoreic_info.xlsx", "Excel", 0, 363, 0, 0, 3, 366
"/Users/zhangyiyao/Desktop/pythonhandler/model/GRU/LS_LA.xlsx", "Excel", 0, 327, 0, 0, 2, 329
"/Users/zhangyiyao/Desktop/pythonhandler/model/GRU/all_risk_analysis.xlsx", "Excel", 0, 47, 0, 0, 0, 47
"/Users/zhangyiyao/Desktop/pythonhandler/model/GRU/group_return.xlsx", "Excel", 0, 844, 0, 0, 5, 849
"/Users/zhangyiyao/Desktop/pythonhandler/model/GRU/ic_df.xlsx", "Excel", 0, 145, 0, 0, 0, 145
"/Users/zhangyiyao/Desktop/pythonhandler/model/GRU/monthly_ic.xlsx", "Excel", 0, 50, 0, 0, 0, 50
"/Users/zhangyiyao/Desktop/pythonhandler/model/GRU/monthly_risk_analysis.xlsx", "Excel", 0, 141, 0, 0, 2, 143
"/Users/zhangyiyao/Desktop/pythonhandler/model/GRU/port_info.xlsx", "Excel", 0, 5788, 0, 0, 20, 5808
"/Users/zhangyiyao/Desktop/pythonhandler/model/GRU/pred_autocorr.xlsx", "Excel", 0, 133, 0, 0, 0, 133
"/Users/zhangyiyao/Desktop/pythonhandler/model/GRU/report_info.xlsx", "Excel", 0, 835, 0, 0, 3, 838
"/Users/zhangyiyao/Desktop/pythonhandler/model/GRU/scoreic_info.xlsx", "Excel", 0, 378, 0, 0, 1, 379
"/Users/zhangyiyao/Desktop/pythonhandler/model/LGBM/.~all_risk_analysis.xlsx", "Excel", 0, 2, 0, 0, 1, 3
"/Users/zhangyiyao/Desktop/pythonhandler/model/LGBM/.~port_info.xlsx", "Excel", 0, 2, 0, 0, 1, 3
"/Users/zhangyiyao/Desktop/pythonhandler/model/LGBM/.~report_info.xlsx", "Excel", 0, 2, 0, 0, 1, 3
"/Users/zhangyiyao/Desktop/pythonhandler/model/LGBM/.~scoreic_info.xlsx", "Excel", 0, 2, 0, 0, 1, 3
"/Users/zhangyiyao/Desktop/pythonhandler/model/LGBM/LS_LA.xlsx", "Excel", 0, 261, 0, 0, 0, 261
"/Users/zhangyiyao/Desktop/pythonhandler/model/LGBM/all_risk_analysis.xlsx", "Excel", 0, 78, 0, 0, 0, 78
"/Users/zhangyiyao/Desktop/pythonhandler/model/LGBM/group_return.xlsx", "Excel", 0, 920, 0, 0, 13, 933
"/Users/zhangyiyao/Desktop/pythonhandler/model/LGBM/ic_df.xlsx", "Excel", 0, 157, 0, 0, 0, 157
"/Users/zhangyiyao/Desktop/pythonhandler/model/LGBM/monthly_ic.xlsx", "Excel", 0, 79, 0, 0, 0, 79
"/Users/zhangyiyao/Desktop/pythonhandler/model/LGBM/monthly_risk_analysis.xlsx", "Excel", 0, 200, 0, 0, 1, 201
"/Users/zhangyiyao/Desktop/pythonhandler/model/LGBM/port_info.xlsx", "Excel", 0, 6353, 0, 0, 30, 6383
"/Users/zhangyiyao/Desktop/pythonhandler/model/LGBM/pred_autocorr.xlsx", "Excel", 0, 260, 0, 0, 0, 260
"/Users/zhangyiyao/Desktop/pythonhandler/model/LGBM/report_info.xlsx", "Excel", 0, 970, 0, 0, 8, 978
"/Users/zhangyiyao/Desktop/pythonhandler/model/LGBM/scoreic_info.xlsx", "Excel", 0, 291, 0, 0, 0, 291
"/Users/zhangyiyao/Desktop/pythonhandler/model/Linear/LS_LA.xlsx", "Excel", 0, 308, 0, 0, 2, 310
"/Users/zhangyiyao/Desktop/pythonhandler/model/Linear/all_risk_analysis.xlsx", "Excel", 0, 44, 0, 0, 0, 44
"/Users/zhangyiyao/Desktop/pythonhandler/model/Linear/group_return.xlsx", "Excel", 0, 845, 0, 0, 9, 854
"/Users/zhangyiyao/Desktop/pythonhandler/model/Linear/ic_df.xlsx", "Excel", 0, 149, 0, 0, 0, 149
"/Users/zhangyiyao/Desktop/pythonhandler/model/Linear/monthly_ic.xlsx", "Excel", 0, 55, 0, 0, 0, 55
"/Users/zhangyiyao/Desktop/pythonhandler/model/Linear/monthly_risk_analysis.xlsx", "Excel", 0, 164, 0, 0, 0, 164
"/Users/zhangyiyao/Desktop/pythonhandler/model/Linear/port_info.xlsx", "Excel", 0, 5754, 0, 0, 19, 5773
"/Users/zhangyiyao/Desktop/pythonhandler/model/Linear/pred_autocorr.xlsx", "Excel", 0, 139, 0, 0, 1, 140
"/Users/zhangyiyao/Desktop/pythonhandler/model/Linear/report_info.xlsx", "Excel", 0, 911, 0, 0, 4, 915
"/Users/zhangyiyao/Desktop/pythonhandler/model/Linear/scoreic_info.xlsx", "Excel", 0, 329, 0, 0, 0, 329
"/Users/zhangyiyao/Desktop/pythonhandler/model/MLP/LS_LA.xlsx", "Excel", 0, 281, 0, 0, 1, 282
"/Users/zhangyiyao/Desktop/pythonhandler/model/MLP/all_risk_analysis.xlsx", "Excel", 0, 46, 0, 0, 0, 46
"/Users/zhangyiyao/Desktop/pythonhandler/model/MLP/group_return.xlsx", "Excel", 0, 781, 0, 0, 6, 787
"/Users/zhangyiyao/Desktop/pythonhandler/model/MLP/ic_df.xlsx", "Excel", 0, 177, 0, 0, 0, 177
"/Users/zhangyiyao/Desktop/pythonhandler/model/MLP/monthly_ic.xlsx", "Excel", 0, 51, 0, 0, 0, 51
"/Users/zhangyiyao/Desktop/pythonhandler/model/MLP/monthly_risk_analysis.xlsx", "Excel", 0, 129, 0, 0, 0, 129
"/Users/zhangyiyao/Desktop/pythonhandler/model/MLP/port_info.xlsx", "Excel", 0, 5665, 0, 0, 21, 5686
"/Users/zhangyiyao/Desktop/pythonhandler/model/MLP/pred_autocorr.xlsx", "Excel", 0, 186, 0, 0, 1, 187
"/Users/zhangyiyao/Desktop/pythonhandler/model/MLP/report_info.xlsx", "Excel", 0, 990, 0, 0, 9, 999
"/Users/zhangyiyao/Desktop/pythonhandler/model/MLP/scoreic_info.xlsx", "Excel", 0, 391, 0, 0, 4, 395
"/Users/zhangyiyao/Desktop/pythonhandler/model/TabNet/LS_LA.xlsx", "Excel", 0, 296, 0, 0, 1, 297
"/Users/zhangyiyao/Desktop/pythonhandler/model/TabNet/all_risk_analysis.xlsx", "Excel", 0, 48, 0, 0, 0, 48
"/Users/zhangyiyao/Desktop/pythonhandler/model/TabNet/group_return.xlsx", "Excel", 0, 767, 0, 0, 6, 773
"/Users/zhangyiyao/Desktop/pythonhandler/model/TabNet/ic_df.xlsx", "Excel", 0, 147, 0, 0, 0, 147
"/Users/zhangyiyao/Desktop/pythonhandler/model/TabNet/monthly_ic.xlsx", "Excel", 0, 55, 0, 0, 0, 55
"/Users/zhangyiyao/Desktop/pythonhandler/model/TabNet/monthly_risk_analysis.xlsx", "Excel", 0, 145, 0, 0, 1, 146
"/Users/zhangyiyao/Desktop/pythonhandler/model/TabNet/port_info.xlsx", "Excel", 0, 5442, 0, 0, 20, 5462
"/Users/zhangyiyao/Desktop/pythonhandler/model/TabNet/pred_autocorr.xlsx", "Excel", 0, 146, 0, 0, 0, 146
"/Users/zhangyiyao/Desktop/pythonhandler/model/TabNet/report_info.xlsx", "Excel", 0, 918, 0, 0, 3, 921
"/Users/zhangyiyao/Desktop/pythonhandler/model/TabNet/scoreic_info.xlsx", "Excel", 0, 405, 0, 0, 1, 406
"Total", "-", 783, 53185, 7642, 48, 337, 61995